,종목_list,매출액,유동자산,유동부채,자산총계,부채총계,ROA,이익잉여금,자기자본,x1,x2,x3,x4,x5,z_score
0,AJ네트웍스,8720,3547,7089,15882,13002,-0.2,1806,2880,-0.22,0.11,-0.2,0.22,0.55,-0.09
1,CJ제일제당,242457,74699,70827,256119,154455,3.0,44068,101664,0.02,0.17,3.0,0.66,0.95,11.51
2,LG헬로비전,10579,3760,4224,14727,8416,-19.2,2474,6311,-0.03,0.17,-19.2,0.75,0.72,-61.99
3,CS홀딩스,1316,1899,190,3237,282,3.7,1872,2955,0.53,0.58,3.7,10.48,0.41,20.36
4,DB,2724,886,1179,4725,1588,1.5,540,3137,-0.06,0.11,1.5,1.98,0.58,6.8
6,DB하이텍,9359,4592,2617,11786,3840,14.6,5254,7946,0.17,0.45,14.6,2.07,0.79,51.05
7,DRB동일,4966,3604,2406,7764,3128,0.8,4220,4636,0.15,0.54,0.8,1.48,0.64,5.1
8,DSR,2310,1348,814,2529,900,3.6,1399,1629,0.21,0.55,3.6,1.81,0.91,14.9
9,E1,39276,13581,16378,37314,24880,1.5,11827,12434,-0.07,0.32,1.5,0.5,1.05,6.66
10,F&F홀딩스,207,5222,2428,8178,2661,11.4,5501,5517,0.34,0.67,11.4,2.07,0.03,40.24
11,GKL,1845,3472,1288,7084,2221,-8.0,4342,4863,0.31,0.61,-8.0,2.19,0.26,-23.6
12,GS,154442,34368,39978,244768,137203,-0.8,98348,107565,-0.02,0.4,-0.8,0.78,0.63,-1.01
13,GS건설,101229,72519,57289,137707,94586,2.5,30761,43121,0.11,0.22,2.5,0.46,0.74,9.71
14,GS글로벌,28150,5608,5403,9568,6578,-7.6,-170,2990,0.02,-0.02,-7.6,0.45,2.94,-21.88
15,GS리테일,88623,9233,16822,71778,45106,2.2,20833,26672,-0.11,0.29,2.2,0.59,1.23,9.12
16,IHQ,810,957,167,1463,277,-11.7,-426,1186,0.54,-0.29,-11.7,4.28,0.55,-35.25
17,JW생명과학,1835,565,693,2144,819,8.3,646,1325,-0.06,0.3,8.3,1.62,0.86,29.57
18,JW중외제약,5473,2993,2347,5491,3416,-2.7,651,2075,0.12,0.12,-2.7,0.61,1.0,-7.23
19,JW홀딩스,7815,4613,6081,11136,7892,0.3,84,3244,-0.13,0.01,0.3,0.41,0.7,1.79
20,KCC,50836,33722,30141,123476,71016,5.2,56667,52460,0.03,0.46,5.2,0.74,0.41,18.69
21,KCTC,4887,1183,1301,4414,2322,3.2,1459,2092,-0.03,0.33,3.2,0.9,1.11,12.63
22,KC그린홀딩스,6804,3635,3411,7761,5461,-9.9,792,2300,0.03,0.1,-9.9,0.42,0.88,-31.36
23,KC코트렐,3279,1891,1850,2819,2696,-20.8,-226,123,0.01,-0.08,-20.8,0.05,1.16,-67.55
24,KEC,2010,1817,863,3683,1996,-12.8,-622,1687,0.26,-0.17,-12.8,0.85,0.55,-41.11
25,컨버즈,204,184,225,321,246,-21.3,-1079,75,-0.13,-3.36,-21.3,0.3,0.64,-74.33
26,KG케미칼,36864,13218,14342,43235,28159,3.7,3043,15076,-0.03,0.07,3.7,0.54,0.85,13.45
27,KISCO홀딩스,10646,11363,1967,15646,2298,2.3,5968,13348,0.6,0.38,2.3,5.81,0.68,13.01
28,KPX케미칼,7467,3542,937,6370,1034,11.0,4757,5336,0.41,0.75,11.0,5.16,1.17,42.11
29,KPX홀딩스,9532,6527,2526,16987,3619,12.3,5192,13368,0.24,0.31,12.3,3.69,0.56,44.09
30,KR모터스,1178,610,841,1559,1060,-7.7,-1020,499,-0.15,-0.65,-7.7,0.47,0.76,-25.46
31,KSS해운,2262,725,2401,10695,8007,1.3,2603,2688,-0.16,0.24,1.3,0.34,0.21,4.85
32,KT,239167,111542,91925,336625,181111,2.1,121554,155514,0.06,0.36,2.1,0.86,0.71,8.73
33,KT&G,50553,67504,19915,114684,23768,10.6,80801,90916,0.41,0.7,10.6,3.83,0.44,39.19
35,KTcs,9317,2899,1757,3849,2152,3.0,1278,1697,0.3,0.33,3.0,0.79,2.42,13.61
36,LF,16105,10829,7208,24794,10650,1.2,8893,14144,0.15,0.36,1.2,1.33,0.65,6.09
37,LG,51991,58959,21333,242823,34210,6.6,167824,208613,0.15,0.69,6.6,6.1,0.21,26.8
38,LG디스플레이,242616,110995,110069,350660,223346,-0.2,75188,127314,0.0,0.21,-0.2,0.57,0.69,0.67
39,LX인터내셔널,112826,31628,25183,53959,36376,7.0,11870,17583,0.12,0.22,7.0,0.48,2.09,25.93
40,LG생활건강,78445,19828,14797,68014,19522,12.2,48054,48492,0.07,0.71,12.2,2.48,1.15,43.97
41,LG유플러스,134176,49509,43283,183502,106990,2.6,39686,76512,0.03,0.22,2.6,0.72,0.73,10.09
42,LG이노텍,95418,31618,22842,60386,36109,4.0,12215,24277,0.15,0.2,4.0,0.67,1.58,15.64
43,LG전자,580579,232394,202075,482042,306621,4.4,136528,175421,0.06,0.28,4.4,0.57,1.2,16.52
44,LX하우시스,30380,10727,9715,23854,15482,-3.2,2061,8372,0.04,0.09,-3.2,0.54,1.27,-8.79
45,LG화학,300589,163197,126242,413889,225985,1.8,151753,187904,0.09,0.37,1.8,0.83,0.73,7.79
46,LIG넥스원,16003,15457,13804,25956,19231,2.4,3580,6725,0.06,0.14,2.4,0.35,0.62,9.02
47,LS,104443,66922,43405,116605,72120,1.7,29003,44485,0.2,0.25,1.7,0.62,0.9,7.47
48,LS네트웍스,3349,2779,5938,12284,7352,-2.1,1740,4932,-0.26,0.14,-2.1,0.67,0.27,-6.37
49,LS ELECTRIC,24027,16498,6442,25404,11269,3.4,12981,14135,0.4,0.51,3.4,1.25,0.95,14.11
50,LS전선아시아,5796,3062,2482,4166,2677,2.1,410,1489,0.14,0.1,2.1,0.56,1.39,8.96
51,MH에탄올,946,377,1461,4497,3693,0.8,655,804,-0.24,0.15,0.8,0.22,0.21,2.9
52,NAVER,53041,105447,79118,170142,87591,5.8,66548,82551,0.15,0.39,5.8,0.94,0.31,20.74
53,NHN,16412,10869,5588,25509,7068,1.1,4341,18441,0.21,0.17,1.1,2.61,0.64,6.33
55,NICE,20555,15453,12328,27304,14808,2.0,4352,12496,0.11,0.16,2.0,0.84,0.75,8.21
56,NPC,4313,1656,983,4106,1152,4.6,2496,2954,0.16,0.61,4.6,2.56,1.05,18.81
57,OCI,20025,20360,8597,44372,20515,-5.4,14548,23857,0.27,0.33,-5.4,1.16,0.45,-15.89
58,POSCO홀딩스,577928,358308,168550,790870,314124,2.3,461115,476746,0.24,0.58,2.3,1.52,0.73,10.33
59,SNT에너지,2374,2037,809,3354,996,2.9,2037,2358,0.37,0.61,2.9,2.37,0.71,13.0
60,SNT모티브,9407,6439,2741,10929,3322,5.1,6262,7607,0.34,0.57,5.1,2.29,0.86,20.27
