name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
AJ네트웍스,5.54,6.93,-0.09,18.17,산업용 기계 및 장비 임대업,1.39,18.26
CJ제일제당,18.34,4.01,11.51,12.84,기타 식품 제조업,-14.33,1.33
LG헬로비전,8.73,-15.25,-61.99,7.52,텔레비전 방송업,-23.98,69.51
CS홀딩스,21.25,25.83,20.36,26.76,기타 금융업,4.58,6.4
DB,-3.61,6.38,6.8,15.6,컴퓨터 프로그래밍,9.99,8.8
DB하이텍,29.64,34.32,51.05,79.96,반도체 제조업,4.68,28.91
DRB동일,8.01,8.6,5.1,0.95,고무제품 제조업,0.59,-4.15
DSR,14.75,15.61,14.9,17.58,1차 비철금속 제조업,0.86,2.68
E1,9.72,-2.82,6.66,14.04,기타 전문 도매업,-12.54,7.38
F&F홀딩스,85.76,65.55,40.24,360.87,기타 금융업,-20.21,320.63
GKL,37.99,31.15,-23.6,-57.5,유원지 및 기타 오락관련 서비스업,-6.84,-33.9
GS,17.03,10.94,-1.01,20.8,기타 금융업,-6.09,21.81
GS건설,16.96,13.38,9.71,11.2,건물 건설업,-3.58,1.49
GS글로벌,8.38,-0.67,-21.88,8.89,상품 종합 도매업,-9.05,30.77
GS리테일,11.1,9.76,9.12,33.55,종합 소매업,-1.34,24.43
IHQ,-7.92,-106.45,-35.25,-16.95,영화,-98.53,18.3
JW생명과학,27.75,38.1,29.57,21.8,의약품 제조업,10.35,-7.77
JW중외제약,6.24,-12.57,-7.23,0.83,의약품 제조업,-18.81,8.06
JW홀딩스,10.29,-8.15,1.79,2.24,기타 금융업,-18.44,0.45
KCC,1.44,-6.32,18.69,0.17,기타 화학제품 제조업,-7.76,-18.52
KCTC,8.71,8.85,12.63,16.77,도로 화물 운송업,0.14,4.14
KC그린홀딩스,12.17,7.76,-31.36,5.2,기타 금융업,-4.41,36.56
KC코트렐,5.18,2.03,-67.55,13.0,일반 목적용 기계 제조업,-3.15,80.55
KEC,3.58,-17.38,-41.11,11.09,반도체 제조업,-20.96,52.2
컨버즈,-107.61,-120.42,-74.33,-19.15,통신 및 방송 장비 제조업,-12.81,55.18
KG케미칼,7.63,26.56,13.45,21.61,기초 화학물질 제조업,18.93,8.16
KISCO홀딩스,12.8,18.97,13.01,41.73,1차 철강 제조업,6.17,28.72
KPX케미칼,13.13,34.63,42.11,27.48,기초 화학물질 제조업,21.5,-14.63
KPX홀딩스,6.99,21.45,44.09,18.74,기초 화학물질 제조업,14.46,-25.35
KR모터스,-60.99,-90.82,-25.46,-23.8,그외 기타 운송장비 제조업,-29.83,1.66
KSS해운,8.31,8.97,4.85,15.29,해상 운송업,0.66,10.44
KT,10.07,8.3,8.73,15.24,전기 통신업,-1.77,6.51
KT&G,33.77,37.25,39.19,31.9,담배 제조업,3.48,-7.29
KTcs,15.18,10.69,13.61,19.43,기타 정보 서비스업,-4.49,5.82
LF,20.25,13.44,6.09,20.2,봉제의복 제조업,-6.81,14.11
LG,31.73,20.88,26.8,40.61,기타 금융업,-10.85,13.81
LG디스플레이,-0.37,-26.47,0.67,13.32,전자부품 제조업,-26.1,12.65
LX인터내셔널,0.27,1.79,25.93,32.66,상품 중개업,1.52,6.73
LG생활건강,49.13,47.49,43.97,43.45,기타 화학제품 제조업,-1.64,-0.52
LG유플러스,14.02,10.64,10.09,14.0,전기 통신업,-3.38,3.91
LG이노텍,11.33,8.02,15.64,45.43,전자부품 제조업,-3.31,29.79
LG전자,13.38,3.48,16.52,11.46,통신 및 방송 장비 제조업,-9.9,-5.06
LX하우시스,-4.96,3.4,-8.79,3.4,플라스틱제품 제조업,8.36,12.19
LG화학,21.28,6.09,7.79,30.32,기초 화학물질 제조업,-15.19,22.53
LIG넥스원,1.79,1.44,9.02,14.73,무기 및 총포탄 제조업,-0.35,5.71
LS,17.83,4.9,7.47,11.53,기타 금융업,-12.93,4.06
LS네트웍스,5.58,-17.66,-6.37,16.6,상품 종합 도매업,-23.24,22.97
LS전선아시아,13.19,18.11,8.96,13.71,기타 금융업,4.92,4.75
MH에탄올,-8.34,-5.77,2.9,6.2,알코올음료 제조업,2.57,3.3
NAVER,25.65,13.73,20.74,217.22,자료처리,-11.92,196.48
NHN,17.41,5.68,6.33,18.07,소프트웨어 개발 및 공급업,-11.73,11.74
NICE,18.48,12.57,8.21,13.09,회사 본부 및 경영 컨설팅 서비스업,-5.91,4.88
NPC,13.42,15.45,18.81,22.02,플라스틱제품 제조업,2.03,3.21
OCI,8.28,-48.71,-15.89,44.83,기초 화학물질 제조업,-56.99,60.72
POSCO홀딩스,10.66,11.05,10.33,30.56,1차 철강 제조업,0.39,20.23
SNT에너지,6.74,20.14,13.0,16.12,일반 목적용 기계 제조업,13.4,3.12
SNT모티브,18.72,4.64,20.27,27.3,자동차 신품 부품 제조업,-14.08,7.03
SNT중공업,11.28,10.1,6.53,26.32,자동차 신품 부품 제조업,-1.18,19.79
SNT홀딩스,14.44,21.88,14.41,24.68,기타 금융업,7.44,10.27
S-Oil,8.04,3.61,-14.85,28.62,석유 정제품 제조업,-4.43,43.47
SBS,4.78,8.38,-13.66,38.42,텔레비전 방송업,3.6,52.08
SG세계물산,9.03,13.21,-9.31,57.24,상품 종합 도매업,4.18,66.55
SG글로벌,7.47,3.22,-1.66,-7.58,자동차 신품 부품 제조업,-4.25,-5.92
SH에너지화학,11.77,-3.53,-15.35,5.82,기초 화학물질 제조업,-15.3,21.17
SIMPAC,45.11,7.05,18.12,39.12,특수 목적용 기계 제조업,-38.06,21.0
SJM,11.12,16.27,10.29,14.51,자동차 신품 부품 제조업,5.15,4.22
SJM홀딩스,11.89,14.59,9.3,13.18,자동차 부품 및 내장품 판매업,2.7,3.88
SK,19.32,5.58,0.76,13.69,기타 금융업,-13.74,12.93
SKC,14.18,7.13,6.31,20.75,기타 화학제품 제조업,-7.05,14.44
SK가스,7.41,15.04,22.61,19.59,기타 전문 도매업,7.63,-3.02
SK네트웍스,2.32,-3.11,2.71,5.03,기타 전문 도매업,-5.43,2.32
SK디앤디,15.05,11.15,15.25,25.12,부동산 임대 및 공급업,-3.9,9.87
SK이노베이션,19.14,3.06,-16.41,5.44,석유 정제품 제조업,-16.08,21.85
SK디스커버리,9.17,19.02,24.22,16.63,기타 금융업,9.85,-7.59
SK텔레콤,29.23,8.3,12.21,22.06,전기 통신업,-20.93,9.85
SK하이닉스,97.42,13.35,26.22,40.46,반도체 제조업,-84.07,14.24
SPC삼립,22.63,9.51,-0.82,14.09,기타 식품 제조업,-13.12,14.91
STX,7.67,-17.32,-4.0,-10.31,상품 종합 도매업,-24.99,-6.31
STX엔진,11.2,8.25,8.52,0.47,일반 목적용 기계 제조업,-2.95,-8.05
STX중공업,-54.41,-23.94,1.25,-5.1,일반 목적용 기계 제조업,30.47,-6.35
TCC스틸,13.15,7.3,0.51,30.53,1차 철강 제조업,-5.85,30.02
WISCOM,11.76,9.26,4.66,10.01,플라스틱제품 제조업,-2.5,5.35
가온전선,3.06,6.68,8.88,6.11,절연선 및 케이블 제조업,3.62,-2.77
강남제비스코,25.47,13.25,16.21,22.79,기타 화학제품 제조업,-12.22,6.58
강원랜드,28.6,30.33,-15.77,4.14,유원지 및 기타 오락관련 서비스업,1.73,19.91
경농,6.66,5.66,14.07,16.29,비료,-1.0,2.22
경동나비엔,17.59,17.99,22.8,34.37,가정용 기기 제조업,0.4,11.57
경동인베스트,19.99,8.35,13.17,12.18,기타 금융업,-11.64,-0.99
경방,6.99,12.66,5.08,7.87,종합 소매업,5.67,2.79
경인양행,14.12,14.21,-3.62,18.19,기초 화학물질 제조업,0.09,21.81
경인전자,9.69,16.84,18.45,27.45,전자부품 제조업,7.15,9.0
계룡건설,20.66,14.89,17.34,25.46,토목 건설업,-5.77,8.12
계양전기,15.57,3.79,14.07,-3.62,일반 목적용 기계 제조업,-11.78,-17.69
고려산업,7.97,9.59,12.45,8.34,곡물가공품,1.62,-4.11
고려아연,31.95,34.77,28.69,33.64,1차 비철금속 제조업,2.82,4.95
고려제강,2.88,1.99,3.06,21.73,1차 철강 제조업,-0.89,18.67
광동제약,13.35,13.22,22.0,13.34,의약품 제조업,-0.13,-8.66
