,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
AJ네트웍스,"['10,455', '10,003', '8,720', '10,267', '8,720', '17.8']","['15,121', '5,011', '3,547', '2,739']","['16,091', '7,968', '7,089', '5,252']","['25,751', '18,033', '15,882', '13,550']","['20,833', '14,559', '13,002', '9,925']"
SK렌터카,"['6,525', '6,409', '8,635', '10,369', '8,635', '20.1']","['966', '1,952', '1,964', '3,092']","['5,956', '5,435', '6,929', '9,265']","['11,732', '16,452', '22,271', '28,602']","['9,262', '13,004', '17,641', '23,766']"
AK홀딩스,"['37,112', '37,595', '26,200', '31,677', '26,200', '20.9']","['13,067', '13,278', '11,853', '13,527']","['13,310', '15,655', '16,117', '18,739']","['33,979', '43,280', '41,521', '45,487']","['19,240', '28,980', '28,894', '33,464']"
BGF,"['2,206', '1,334', '1,544', '2,068', '1,544', '33.9']","['3,152', '3,197', '4,628', '4,688']","['577', '637', '690', '1,144']","['16,249', '16,574', '16,582', '19,816']","['1,091', '1,291', '1,211', '2,489']"
BGF리테일,"['57,759', '59,461', '61,813', '67,812', '61,813', '9.7']","['6,961', '7,441', '8,291', '8,083']","['7,637', '9,507', '10,034', '10,165']","['14,826', '21,724', '23,712', '25,964']","['9,609', '15,498', '16,743', '17,871']"
BNK금융지주,"['23,435', '21,868', '21,845', '25,718', '21,845', '17.7']","['32,128', '41,485', '45,051', '53,492']","['\xa0', '\xa0', '\xa0', '\xa0']","['987,936', '1,045,388', '1,141,569', '1,282,870']","['903,686', '953,576', '1,045,306', '1,180,639']"
BYC,"['1,979', '1,706', '1,619', '1,644', '1,619', '1.6']","['898', '1,183', '1,164', '1,333']","['821', '1,094', '1,212', '1,307']","['7,384', '6,939', '6,791', '6,844']","['3,310', '2,596', '2,265', '2,026']"
CJ,"['295,234', '337,797', '319,991', '344,840', '319,991', '7.8']","['88,694', '111,527', '111,181', '120,524']","['109,984', '122,847', '114,226', '125,461']","['317,295', '403,814', '400,250', '419,560']","['192,077', '257,663', '246,287', '254,925']"
CJ CGV,"['17,694', '19,423', '5,834', '7,363', '5,834', '26.2']","['4,970', '6,770', '9,494', '6,206']","['8,614', '11,202', '13,113', '9,754']","['22,342', '45,240', '43,549', '37,855']","['16,839', '39,229', '40,670', '34,842']"
CJ대한통운,"['92,197', '104,151', '107,811', '113,437', '107,811', '5.2']","['21,808', '23,222', '25,385', '23,482']","['26,140', '25,087', '28,076', '24,489']","['78,686', '91,100', '96,435', '89,939']","['47,378', '54,548', '56,036', '49,776']"
CJ씨푸드,"['1,507', '1,492', '1,491', '1,621', '1,491', '8.8']","['411', '383', '463', '512']","['589', '574', '437', '408']","['1,265', '1,273', '1,353', '1,334']","['647', '630', '695', '663']"
CJ제일제당,"['186,701', '223,525', '242,457', '262,892', '242,457', '8.4']","['55,224', '79,430', '74,699', '77,256']","['66,804', '82,022', '70,827', '79,159']","['194,970', '262,806', '256,119', '268,558']","['121,888', '167,992', '154,455', '160,490']"
LG헬로비전,"['11,780', '11,122', '10,579', '10,801', '10,579', '2.1']","['3,339', '3,323', '3,760', '4,353']","['3,545', '5,829', '4,224', '2,682']","['19,370', '17,907', '14,727', '14,881']","['8,843', '8,394', '8,416', '8,357']"
CS홀딩스,"['1,226', '1,350', '1,316', '1,590', '1,316', '20.8']","['1,885', '1,948', '1,899', '1,891']","['208', '191', '190', '292']","['3,044', '3,143', '3,237', '3,537']","['297', '281', '282', '415']"
DB,"['2,371', '2,385', '2,724', '3,269', '2,724', '20.0']","['837', '839', '886', '845']","['605', '592', '1,179', '506']","['2,884', '3,632', '4,725', '6,020']","['1,508', '1,522', '1,588', '1,642']"
DB금융투자,"['1,154', '1,086', '1,151', '1,173', '1,151', '1.9']","['14,495', '13,391', '19,058', '16,295']","['\xa0', '\xa0', '\xa0', '\xa0']","['70,432', '84,224', '99,596', '95,837']","['\xa0', '\xa0', '\xa0', '\xa0']"
DB손해보험,"['174,545', '186,761', '201,106', '208,806', '201,106', '3.8']","['13,555', '8,308', '6,779', '8,185']","['\xa0', '\xa0', '\xa0', '\xa0']","['509,291', '557,791', '600,544', '647,516']","['456,363', '496,340', '535,595', '580,191']"
DB하이텍,"['6,693', '8,074', '9,359', '12,147', '9,359', '29.8']","['3,834', '4,263', '4,592', '8,152']","['1,568', '2,197', '2,617', '3,353']","['10,665', '10,889', '11,786', '15,499']","['5,081', '4,442', '3,840', '4,439']"
DGB금융지주,"['13,794', '14,110', '14,287', '16,013', '14,287', '12.1']","['29,672', '31,813', '42,966', '44,924']","['\xa0', '\xa0', '\xa0', '\xa0']","['649,135', '724,044', '799,833', '859,060']","['598,579', '669,968', '742,147', '795,787']"
DRB동일,"['5,454', '5,470', '4,966', '5,513', '4,966', '11.0']","['3,073', '3,198', '3,604', '3,848']","['2,144', '2,237', '2,406', '3,118']","['7,162', '7,453', '7,764', '8,320']","['2,680', '2,838', '3,128', '3,564']"
DSR,"['2,360', '2,363', '2,310', '2,724', '2,310', '17.9']","['1,189', '1,237', '1,348', '1,857']","['728', '777', '814', '1,156']","['2,250', '2,404', '2,529', '3,026']","['776', '851', '900', '1,246']"
DSR제강,"['1,853', '1,915', '1,762', '2,071', '1,762', '17.6']","['899', '845', '866', '1,225']","['629', '529', '547', '825']","['2,054', '2,016', '2,063', '2,417']","['693', '598', '600', '879']"
E1,"['46,302', '46,083', '39,276', '51,523', '39,276', '31.2']","['14,464', '14,121', '13,581', '16,290']","['13,625', '11,029', '16,378', '13,117']","['35,654', '35,950', '37,314', '39,993']","['22,495', '23,917', '24,880', '26,259']"
