2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금,2018_자기자본,2019_자기자본,2020_자기자본,2021_자기자본,종목,번호,category
10455,10003,8720,10267,15121,5011,3547,2739,16091,7968,7089,5252,25751,18033,15882,13550,20833,14559,13002,9925,0.9,1.5,1.9,-0.2,5.2,1572,1988,1806,2479,4918,3474,2880,3625,AJ네트웍스,095570,1026
186701,223525,242457,262892,55224,79430,74699,77256,66804,82022,70827,79159,194970,262806,256119,268558,121888,167992,154455,160490,2.5,5.1,0.8,3.0,3.4,36943,37864,44068,49402,73082,94814,101664,108068,CJ제일제당,097950,1027
11780,11122,10579,10801,3339,3323,3760,4353,3545,5829,4224,2682,19370,17907,14727,14881,8843,8394,8416,8357,1.6,2.1,-5.1,-19.2,1.8,6690,5676,2474,2686,10527,9513,6311,6524,LG헬로비전,037560,1026
1226,1350,1316,1590,1885,1948,1899,1891,208,191,190,292,3044,3143,3237,3537,297,281,282,415,4.8,4.2,5.4,3.7,6.2,1699,1797,1872,2007,2747,2862,2955,3122,CS홀딩스,000590,1021
2371,2385,2724,3269,837,839,886,845,605,592,1179,506,2884,3632,4725,6020,1508,1522,1588,1642,-0.5,-1.6,1.4,1.5,4.0,436,481,540,772,1376,2110,3137,4378,DB,012030,1026
6693,8074,9359,12147,3834,4263,4592,8152,1568,2197,2617,3353,10665,10889,11786,15499,5081,4442,3840,4439,11.1,8.4,9.7,14.6,23.2,2869,3756,5254,8320,5584,6447,7946,11060,DB하이텍,000990,1027
5454,5470,4966,5513,3073,3198,3604,3848,2144,2237,2406,3118,7162,7453,7764,8320,2680,2838,3128,3564,2.8,1.6,1.8,0.8,-0.4,4155,4218,4220,4168,4482,4615,4636,4756,DRB동일,004840,1027
2360,2363,2310,2724,1189,1237,1348,1857,728,777,814,1156,2250,2404,2529,3026,776,851,900,1246,5.2,3.5,3.8,3.6,4.5,1244,1319,1399,1513,1474,1553,1629,1780,DSR,155660,1027
46302,46083,39276,51523,14464,14121,13581,16290,13625,11029,16378,13117,35654,35950,37314,39993,22495,23917,24880,26259,2.5,2.3,-1.5,1.5,3.6,11898,11341,11827,13006,13159,12033,12434,13734,E1,017940,1016
6683,9103,207,7271,2911,4001,5222,6832,998,1614,2428,5736,4958,6844,8178,29123,1010,2007,2661,5980,21.2,24.4,18.6,11.4,108.2,3839,4796,5501,24625,3948,4837,5517,23143,F&F홀딩스,007700,1021
4803,4908,1845,851,4556,4571,3472,2370,1686,2118,1288,1011,7658,9094,7084,5313,2037,3243,2221,1478,11.0,10.4,8.6,-8.0,-18.3,5099,5330,4342,3314,5621,5851,4863,3835,GKL,114090,1026
177444,177861,154442,202401,32851,31175,34368,53889,45688,47896,39978,55018,226310,247341,244768,311913,121060,137183,137203,169883,5.2,4.6,2.8,-0.8,5.8,99059,102829,98348,111313,105250,110158,107565,142030,GS,078930,1021
131394,104166,101229,90366,78282,73289,72519,81951,63597,58009,57289,67693,120333,131712,137707,151837,84086,90282,94586,103110,-1.2,4.6,3.6,2.5,3.0,24871,28274,30761,34057,36247,41430,43121,48727,GS건설,006360,1018
40585,38894,28150,38490,8009,7210,5608,10387,7495,6726,5403,9266,13360,12052,9568,14427,9329,8253,6578,11002,1.7,1.5,-1.3,-7.6,1.8,840,633,-170,71,4031,3799,2990,3425,GS글로벌,001250,1016
86916,90069,88623,97657,7095,8004,9233,11839,17204,17771,16822,20552,50989,70497,71778,94560,26405,44826,45106,50416,2.4,2.6,2.4,2.2,9.6,18598,19686,20833,28531,24584,25671,26672,44144,GS리테일,007070,1016
1094,993,810,600,784,960,957,1201,224,190,167,1185,2313,1658,1463,2386,267,290,277,1204,1.0,-4.1,-33.4,-11.7,-5.3,419,-245,-426,-522,2046,1368,1186,1182,IHQ,003560,1026
1552,1702,1835,1698,579,599,565,644,731,669,693,839,2009,2014,2144,2195,916,788,819,880,8.6,7.9,10.9,8.3,6.0,413,547,646,703,1093,1226,1325,1315,JW생명과학,234080,1027
5372,5113,5473,6066,3739,3351,2993,3665,2284,2780,2347,2827,5938,5732,5491,6331,3337,3431,3416,4445,-0.1,1.3,-4.3,-2.7,-0.2,1217,868,651,586,2601,2301,2075,1886,JW중외제약,001060,1027
7254,7264,7815,7889,6435,5809,4613,4450,5013,6513,6081,4951,12756,12343,11136,10658,8746,8918,7892,7610,4.5,2.8,-2.7,0.3,0.4,604,64,84,24,4010,3425,3244,3048,JW홀딩스,096760,1021
30810,27196,50836,58749,26456,32303,33722,36681,14222,31876,30141,27000,89654,93822,123476,128789,32241,49290,71016,75028,0.5,-0.3,-2.4,5.2,-0.4,54447,51321,56667,46784,57413,44532,52460,53761,KCC,002380,1027
4004,4462,4887,6947,861,991,1183,1582,1022,1325,1301,1354,3760,4243,4414,5323,1864,2270,2322,3033,2.5,2.0,2.1,3.2,4.4,1299,1341,1459,1641,1896,1973,2092,2290,KCTC,009070,1019
5347,6989,6804,7508,3418,4381,3635,4989,2757,3817,3411,4652,6708,8161,7761,9066,3841,5218,5461,6466,1.9,3.2,1.9,-9.9,1.2,1135,1186,792,806,2867,2943,2300,2600,KC그린홀딩스,009440,1021
1820,3006,3279,3550,1420,2409,1891,3142,1191,2155,1850,2653,2195,3320,2819,3851,1417,2558,2696,3351,4.1,1.1,0.2,-20.8,3.6,415,417,-226,-105,778,762,123,500,KC코트렐,119650,1027
2174,2017,2010,2675,1542,1455,1817,2005,855,949,863,978,3512,3342,3683,4006,1258,1203,1996,1214,0.4,0.5,-5.8,-12.8,2.7,12,-186,-622,-534,2254,2139,1687,2792,KEC,092220,1027
764,458,204,409,398,151,184,219,601,294,225,171,649,271,321,330,640,306,246,234,-25.5,-32.3,-35.2,-21.3,-4.9,-852,-1016,-1079,-1096,9,-35,75,96,컨버즈,109070,1027
12828,20684,36864,49315,6642,14417,13218,18855,7231,15878,14342,18159,15086,41515,43235,48849,9044,28000,28159,30974,0.7,1.9,7.8,3.7,6.1,1698,2609,3043,3746,6042,13515,15076,17875,KG케미칼,001390,1027
12886,11830,10646,15808,11179,10948,11363,12584,2419,1931,1967,2306,15452,15573,15646,16881,2661,2298,2298,2674,-0.5,2.4,4.1,2.3,11.0,5309,5695,5968,6977,12791,13275,13348,14207,KISCO홀딩스,001940,1027
7667,7657,7467,10208,3193,2747,3542,4533,817,496,937,1885,5353,5379,6370,7771,916,556,1034,1991,5.0,2.2,8.0,11.0,7.0,3872,4241,4757,5116,4437,4823,5336,5780,KPX케미칼,025000,1027
10224,9727,9532,12387,5804,4968,6527,7756,2360,1850,2526,3424,14166,14490,16987,18149,2907,2677,3619,4454,4.3,1.0,5.3,12.3,4.7,3654,3890,5192,5523,11259,11813,13368,13695,KPX홀딩스,092230,1027
366,1326,1178,1335,870,527,610,697,706,864,841,955,1549,1441,1559,1684,850,1089,1060,1182,-24.5,-18.6,-27.5,-7.7,-7.4,-525,-937,-1020,-287,699,352,499,502,KR모터스,000040,1027
2025,2312,2262,3240,447,642,725,681,1195,1682,2401,3816,9045,9572,10695,14462,6532,6762,8007,11034,3.3,2.3,2.5,1.3,4.5,2310,2525,2603,3088,2513,2810,2688,3428,KSS해운,044450,1019
234601,243421,239167,248980,118943,118972,111542,118584,93877,101481,91925,100724,321888,345401,336625,371593,174576,193566,181111,205922,1.9,2.5,2.0,2.1,4.1,113289,116338,121554,132874,147312,151835,155514,165671,KT,030200,1020
44715,49632,50553,52284,64134,64172,67504,62559,16407,16001,19915,20639,101979,107524,114684,116373,20297,20129,23768,24284,12.3,8.9,9.9,10.6,8.4,71015,75147,80801,85504,81682,87395,90916,92089,KT&G,033780,1027
