,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
0,AJ네트웍스,"10,455","10,003","8,720","10,267","15,121","5,011","3,547","2,739","16,091","7,968","7,089","5,252","25,751","18,033","15,882","13,550","20,833","14,559","13,002","9,925",0.9,1.5,1.9,-0.2,5.2,"1,572","1,988","1,806","2,479"
11,CJ제일제당,"186,701","223,525","242,457","262,892","55,224","79,430","74,699","77,256","66,804","82,022","70,827","79,159","194,970","262,806","256,119","268,558","121,888","167,992","154,455","160,490",2.5,5.1,0.8,3.0,3.4,"36,943","37,864","44,068","49,402"
12,LG헬로비전,"11,780","11,122","10,579","10,801","3,339","3,323","3,760","4,353","3,545","5,829","4,224","2,682","19,370","17,907","14,727","14,881","8,843","8,394","8,416","8,357",1.6,2.1,-5.1,-19.2,1.8,"6,690","5,676","2,474","2,686"
13,CS홀딩스,"1,226","1,350","1,316","1,590","1,885","1,948","1,899","1,891",208,191,190,292,"3,044","3,143","3,237","3,537",297,281,282,415,4.8,4.2,5.4,3.7,6.2,"1,699","1,797","1,872","2,007"
14,DB,"2,371","2,385","2,724","3,269",837,839,886,845,605,592,"1,179",506,"2,884","3,632","4,725","6,020","1,508","1,522","1,588","1,642",-0.5,-1.6,1.4,1.5,4.0,436,481,540,772
15,DB금융투자,"1,154","1,086","1,151","1,173","14,495","13,391","19,058","16,295", , , , ,"70,432","84,224","99,596","95,837", , , , ,17.4,12.5,12.0,15.2,8.3,"1,032","1,119","1,217","1,315"
17,DB하이텍,"6,693","8,074","9,359","12,147","3,834","4,263","4,592","8,152","1,568","2,197","2,617","3,353","10,665","10,889","11,786","15,499","5,081","4,442","3,840","4,439",11.1,8.4,9.7,14.6,23.2,"2,869","3,756","5,254","8,320"
19,DRB동일,"5,454","5,470","4,966","5,513","3,073","3,198","3,604","3,848","2,144","2,237","2,406","3,118","7,162","7,453","7,764","8,320","2,680","2,838","3,128","3,564",2.8,1.6,1.8,0.8,-0.4,"4,155","4,218","4,220","4,168"
20,DSR,"2,360","2,363","2,310","2,724","1,189","1,237","1,348","1,857",728,777,814,"1,156","2,250","2,404","2,529","3,026",776,851,900,"1,246",5.2,3.5,3.8,3.6,4.5,"1,244","1,319","1,399","1,513"
22,E1,"46,302","46,083","39,276","51,523","14,464","14,121","13,581","16,290","13,625","11,029","16,378","13,117","35,654","35,950","37,314","39,993","22,495","23,917","24,880","26,259",2.5,2.3,-1.5,1.5,3.6,"11,898","11,341","11,827","13,006"
23,F&F홀딩스,"6,683","9,103",207,"7,271","2,911","4,001","5,222","6,832",998,"1,614","2,428","5,736","4,958","6,844","8,178","29,123","1,010","2,007","2,661","5,980",21.2,24.4,18.6,11.4,108.2,"3,839","4,796","5,501","24,625"
24,GKL,"4,803","4,908","1,845",851,"4,556","4,571","3,472","2,370","1,686","2,118","1,288","1,011","7,658","9,094","7,084","5,313","2,037","3,243","2,221","1,478",11.0,10.4,8.6,-8.0,-18.3,"5,099","5,330","4,342","3,314"
25,GS,"177,444","177,861","154,442","202,401","32,851","31,175","34,368","53,889","45,688","47,896","39,978","55,018","226,310","247,341","244,768","311,913","121,060","137,183","137,203","169,883",5.2,4.6,2.8,-0.8,5.8,"99,059","102,829","98,348","111,313"
26,GS건설,"131,394","104,166","101,229","90,366","78,282","73,289","72,519","81,951","63,597","58,009","57,289","67,693","120,333","131,712","137,707","151,837","84,086","90,282","94,586","103,110",-1.2,4.6,3.6,2.5,3.0,"24,871","28,274","30,761","34,057"
27,GS글로벌,"40,585","38,894","28,150","38,490","8,009","7,210","5,608","10,387","7,495","6,726","5,403","9,266","13,360","12,052","9,568","14,427","9,329","8,253","6,578","11,002",1.7,1.5,-1.3,-7.6,1.8,840,633,-170,71
28,GS리테일,"86,916","90,069","88,623","97,657","7,095","8,004","9,233","11,839","17,204","17,771","16,822","20,552","50,989","70,497","71,778","94,560","26,405","44,826","45,106","50,416",2.4,2.6,2.4,2.2,9.6,"18,598","19,686","20,833","28,531"
29,IHQ,"1,094",993,810,600,784,960,957,"1,201",224,190,167,"1,185","2,313","1,658","1,463","2,386",267,290,277,"1,204",1.0,-4.1,-33.4,-11.7,-5.3,419,-245,-426,-522
31,JW생명과학,"1,552","1,702","1,835","1,698",579,599,565,644,731,669,693,839,"2,009","2,014","2,144","2,195",916,788,819,880,8.6,7.9,10.9,8.3,6.0,413,547,646,703
32,JW중외제약,"5,372","5,113","5,473","6,066","3,739","3,351","2,993","3,665","2,284","2,780","2,347","2,827","5,938","5,732","5,491","6,331","3,337","3,431","3,416","4,445",-0.1,1.3,-4.3,-2.7,-0.2,"1,217",868,651,586
33,JW홀딩스,"7,254","7,264","7,815","7,889","6,435","5,809","4,613","4,450","5,013","6,513","6,081","4,951","12,756","12,343","11,136","10,658","8,746","8,918","7,892","7,610",4.5,2.8,-2.7,0.3,0.4,604,64,84,24
35,KCC,"30,810","27,196","50,836","58,749","26,456","32,303","33,722","36,681","14,222","31,876","30,141","27,000","89,654","93,822","123,476","128,789","32,241","49,290","71,016","75,028",0.5,-0.3,-2.4,5.2,-0.4,"54,447","51,321","56,667","46,784"
36,KCTC,"4,004","4,462","4,887","6,947",861,991,"1,183","1,582","1,022","1,325","1,301","1,354","3,760","4,243","4,414","5,323","1,864","2,270","2,322","3,033",2.5,2.0,2.1,3.2,4.4,"1,299","1,341","1,459","1,641"
37,KC그린홀딩스,"5,347","6,989","6,804","7,508","3,418","4,381","3,635","4,989","2,757","3,817","3,411","4,652","6,708","8,161","7,761","9,066","3,841","5,218","5,461","6,466",1.9,3.2,1.9,-9.9,1.2,"1,135","1,186",792,806
38,KC코트렐,"1,820","3,006","3,279","3,550","1,420","2,409","1,891","3,142","1,191","2,155","1,850","2,653","2,195","3,320","2,819","3,851","1,417","2,558","2,696","3,351",4.1,1.1,0.2,-20.8,3.6,415,417,-226,-105
39,KEC,"2,174","2,017","2,010","2,675","1,542","1,455","1,817","2,005",855,949,863,978,"3,512","3,342","3,683","4,006","1,258","1,203","1,996","1,214",0.4,0.5,-5.8,-12.8,2.7,12,-186,-622,-534
40,컨버즈,764,458,204,409,398,151,184,219,601,294,225,171,649,271,321,330,640,306,246,234,-25.5,-32.3,-35.2,-21.3,-4.9,-852,"-1,016","-1,079","-1,096"
41,KG케미칼,"12,828","20,684","36,864","49,315","6,642","14,417","13,218","18,855","7,231","15,878","14,342","18,159","15,086","41,515","43,235","48,849","9,044","28,000","28,159","30,974",0.7,1.9,7.8,3.7,6.1,"1,698","2,609","3,043","3,746"
42,KISCO홀딩스,"12,886","11,830","10,646","15,808","11,179","10,948","11,363","12,584","2,419","1,931","1,967","2,306","15,452","15,573","15,646","16,881","2,661","2,298","2,298","2,674",-0.5,2.4,4.1,2.3,11.0,"5,309","5,695","5,968","6,977"
44,KPX케미칼,"7,667","7,657","7,467","10,208","3,193","2,747","3,542","4,533",817,496,937,"1,885","5,353","5,379","6,370","7,771",916,556,"1,034","1,991",5.0,2.2,8.0,11.0,7.0,"3,872","4,241","4,757","5,116"
45,KPX홀딩스,"10,224","9,727","9,532","12,387","5,804","4,968","6,527","7,756","2,360","1,850","2,526","3,424","14,166","14,490","16,987","18,149","2,907","2,677","3,619","4,454",4.3,1.0,5.3,12.3,4.7,"3,654","3,890","5,192","5,523"
46,KR모터스,366,"1,326","1,178","1,335",870,527,610,697,706,864,841,955,"1,549","1,441","1,559","1,684",850,"1,089","1,060","1,182",-24.5,-18.6,-27.5,-7.7,-7.4,-525,-937,"-1,020",-287
47,KSS해운,"2,025","2,312","2,262","3,240",447,642,725,681,"1,195","1,682","2,401","3,816","9,045","9,572","10,695","14,462","6,532","6,762","8,007","11,034",3.3,2.3,2.5,1.3,4.5,"2,310","2,525","2,603","3,088"
48,KT,"234,601","243,421","239,167","248,980","118,943","118,972","111,542","118,584","93,877","101,481","91,925","100,724","321,888","345,401","336,625","371,593","174,576","193,566","181,111","205,922",1.9,2.5,2.0,2.1,4.1,"113,289","116,338","121,554","132,874"
