종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액
AJ네트웍스,"10,455","10,003","8,720","10,267"
SK렌터카,"6,525","6,409","8,635","10,369"
AK홀딩스,"37,112","37,595","26,200","31,677"
BGF,"2,206","1,334","1,544","2,068"
BGF리테일,"57,759","59,461","61,813","67,812"
BNK금융지주,"23,435","21,868","21,845","25,718"
BYC,"1,979","1,706","1,619","1,644"
CJ,"295,234","337,797","319,991","344,840"
CJ CGV,"17,694","19,423","5,834","7,363"
CJ대한통운,"92,197","104,151","107,811","113,437"
CJ씨푸드,"1,507","1,492","1,491","1,621"
CJ제일제당,"186,701","223,525","242,457","262,892"
LG헬로비전,"11,780","11,122","10,579","10,801"
CS홀딩스,"1,226","1,350","1,316","1,590"
DB,"2,371","2,385","2,724","3,269"
DB금융투자,"1,154","1,086","1,151","1,173"
DB손해보험,"174,545","186,761","201,106","208,806"
DB하이텍,"6,693","8,074","9,359","12,147"
DGB금융지주,"13,794","14,110","14,287","16,013"
DRB동일,"5,454","5,470","4,966","5,513"
DSR,"2,360","2,363","2,310","2,724"
DSR제강,"1,853","1,915","1,762","2,071"
E1,"46,302","46,083","39,276","51,523"
F&F홀딩스,"6,683","9,103",207,"7,271"
GKL,"4,803","4,908","1,845",851
GS,"177,444","177,861","154,442","202,401"
GS건설,"131,394","104,166","101,229","90,366"
GS글로벌,"40,585","38,894","28,150","38,490"
GS리테일,"86,916","90,069","88,623","97,657"
IHQ,"1,094",993,810,600
JB금융지주,"12,536","12,326","12,600","14,525"
JW생명과학,"1,552","1,702","1,835","1,698"
JW중외제약,"5,372","5,113","5,473","6,066"
JW홀딩스,"7,254","7,264","7,815","7,889"
KB금융,"89,049","91,968","97,223","112,296"
KCC,"30,810","27,196","50,836","58,749"
KCTC,"4,004","4,462","4,887","6,947"
KC그린홀딩스,"5,347","6,989","6,804","7,508"
KC코트렐,"1,820","3,006","3,279","3,550"
KEC,"2,174","2,017","2,010","2,675"
컨버즈,764,458,204,409
KG케미칼,"12,828","20,684","36,864","49,315"
KISCO홀딩스,"12,886","11,830","10,646","15,808"
그린케미칼,"2,541","2,319","2,424","2,862"
KPX케미칼,"7,667","7,657","7,467","10,208"
KPX홀딩스,"10,224","9,727","9,532","12,387"
KR모터스,366,"1,326","1,178","1,335"
KSS해운,"2,025","2,312","2,262","3,240"
KT,"234,601","243,421","239,167","248,980"
KT&G,"44,715","49,632","50,553","52,284"
다올투자증권,259,242,257,589
