종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
AJ네트웍스,"16,091","7,968","7,089","5,252"
SK렌터카,"5,956","5,435","6,929","9,265"
AK홀딩스,"13,310","15,655","16,117","18,739"
BGF,577,637,690,"1,144"
BGF리테일,"7,637","9,507","10,034","10,165"
BNK금융지주, , , , 
BYC,821,"1,094","1,212","1,307"
CJ,"109,984","122,847","114,226","125,461"
CJ CGV,"8,614","11,202","13,113","9,754"
CJ대한통운,"26,140","25,087","28,076","24,489"
CJ씨푸드,589,574,437,408
CJ제일제당,"66,804","82,022","70,827","79,159"
LG헬로비전,"3,545","5,829","4,224","2,682"
CS홀딩스,208,191,190,292
DB,605,592,"1,179",506
DB금융투자, , , , 
DB손해보험, , , , 
DB하이텍,"1,568","2,197","2,617","3,353"
DGB금융지주, , , , 
DRB동일,"2,144","2,237","2,406","3,118"
DSR,728,777,814,"1,156"
DSR제강,629,529,547,825
E1,"13,625","11,029","16,378","13,117"
F&F홀딩스,998,"1,614","2,428","5,736"
GKL,"1,686","2,118","1,288","1,011"
GS,"45,688","47,896","39,978","55,018"
GS건설,"63,597","58,009","57,289","67,693"
GS글로벌,"7,495","6,726","5,403","9,266"
GS리테일,"17,204","17,771","16,822","20,552"
IHQ,224,190,167,"1,185"
JB금융지주, , , , 
JW생명과학,731,669,693,839
JW중외제약,"2,284","2,780","2,347","2,827"
JW홀딩스,"5,013","6,513","6,081","4,951"
KB금융, , , , 
KCC,"14,222","31,876","30,141","27,000"
KCTC,"1,022","1,325","1,301","1,354"
KC그린홀딩스,"2,757","3,817","3,411","4,652"
KC코트렐,"1,191","2,155","1,850","2,653"
KEC,855,949,863,978
컨버즈,601,294,225,171
KG케미칼,"7,231","15,878","14,342","18,159"
KISCO홀딩스,"2,419","1,931","1,967","2,306"
그린케미칼,715,661,516,778
KPX케미칼,817,496,937,"1,885"
KPX홀딩스,"2,360","1,850","2,526","3,424"
KR모터스,706,864,841,955
KSS해운,"1,195","1,682","2,401","3,816"
KT,"93,877","101,481","91,925","100,724"
KT&G,"16,407","16,001","19,915","20,639"
다올투자증권, , , , 
KTcs,"1,786","1,630","1,757","1,896"
LF,"2,986","7,100","7,208","6,132"
LG,"30,395","22,448","21,333","28,193"
LG디스플레이,"99,545","109,850","110,069","139,948"
LX인터내셔널,"21,674","21,263","25,183","34,309"
LG생활건강,"13,589","17,712","14,797","15,258"
LG유플러스,"38,330","46,489","43,283","50,737"
LG이노텍,"15,844","20,462","22,842","33,103"
LG전자,"171,350","176,579","202,075","236,199"
LX하우시스,"7,368","9,745","9,715","12,201"
LG화학,"72,735","89,415","126,242","150,621"
LIG넥스원,"13,059","12,375","13,804","14,811"
LS,"39,566","39,734","43,405","51,739"
LS네트웍스,"2,105","1,701","5,938","1,714"
LS ELECTRIC,"7,002","7,538","6,442","8,453"
LS전선아시아,"1,895","1,917","2,482","3,076"
MH에탄올,"1,411","2,824","1,461","2,973"
NAVER,"26,197","37,731","79,118","39,233"
NHN,"5,625","5,328","5,588","7,197"
NH투자증권, , , , 
NICE,"9,176","11,317","12,328","15,107"
NI스틸,"1,033","1,272","1,459","1,686"
NPC,"1,225",995,983,"1,345"
OCI,"10,929","8,458","8,597","12,365"
POSCO홀딩스,"189,380","163,237","168,550","210,836"
SNT에너지,316,675,809,662
SNT모티브,"2,815","2,411","2,741","2,347"
SNT중공업,"1,180","1,063","1,213","1,243"
SNT홀딩스,"3,816","4,056","4,614","4,125"
S-Oil,"57,890","57,487","65,651","85,050"
SBS,"2,102","3,930","2,414","5,155"
SBS미디어홀딩스,962,541,"1,752",378
SG세계물산,957,739,683,604
SG글로벌,461,575,367,131
SH에너지화학,67,75,74,131
SIMPAC,"2,285","2,195","2,491","3,314"
SJM,277,327,325,369
SJM홀딩스,365,402,394,464
SK,"300,078","356,271","372,127","449,749"
SKC,"10,815","10,432","17,339","17,200"
SK가스,"15,006","15,704","12,716","14,420"
SK네트웍스,"37,397","45,220","37,233","38,976"
SK디앤디,"7,327","5,674","7,053","4,656"
SK이노베이션,"88,666","104,572","110,148","145,124"
SK증권, , , , 
SK디스커버리,"16,972","16,847","14,545","19,775"
SK텔레콤,"68,476","78,517","81,780","69,604"
SK하이닉스,"130,319","79,620","90,724","147,694"
SPC삼립,"4,077","4,539","5,678","5,772"
STX,"4,636","4,398","4,583","4,484"
STX엔진,"3,499","3,553","4,806","4,908"
STX중공업,"2,822","1,985","2,585","2,449"
TBH글로벌,611,501,446,497
TCC스틸,932,"1,660","1,338","1,387"
WISCOM,82,136,115,136
YG PLUS,228,338,424,580
가온전선,"1,475","1,681","1,923","2,465"
강남제비스코,604,599,686,"1,344"
강원랜드,"6,360","6,513","3,300","5,068"
갤럭시아에스엠,64,63,64,73
경농,"1,283","1,226","1,340","1,231"
경동나비엔,"2,751","2,703","3,380","4,347"
경동도시가스,"3,759","3,212","2,606","4,517"
경동인베스트,784,847,745,611
경방,"1,632","1,924","2,856","2,307"
경보제약,693,838,938,888
경인양행,"1,569","1,926","2,163","2,692"
경인전자,22,19,25,50
계룡건설,"10,054","11,532","10,261","10,922"
계양전기,544,659,982,919
고려개발,"2,438","4,194","2,671","2,336"
고려산업,"1,035",952,"1,005","1,179"
고려아연,"5,384","7,043","11,184","17,705"
고려제강,"6,901","6,405","5,873","6,012"
상상인증권, , , , 
광동제약,"2,714","3,084","3,022","3,255"
광명전기,363,451,499,491
광전자,232,226,247,218
광주신세계,748,757,708,912
광주은행,55, , , 
교보증권, , , , 
국도화학,"2,696","2,309","2,475","4,820"
국동,632,429,843,526
국보,281,753,534,612
국제약품,482,593,554,545
극동유화,689,807,825,"1,122"
금강공업,"4,223","4,442","3,523","4,053"
금비,565,814,793,730
