종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
AJ네트웍스,"15,121","5,011","3,547","2,739"
SK렌터카,966,"1,952","1,964","3,092"
AK홀딩스,"13,067","13,278","11,853","13,527"
BGF,"3,152","3,197","4,628","4,688"
BGF리테일,"6,961","7,441","8,291","8,083"
BNK금융지주,"32,128","41,485","45,051","53,492"
BYC,898,"1,183","1,164","1,333"
CJ,"88,694","111,527","111,181","120,524"
CJ CGV,"4,970","6,770","9,494","6,206"
CJ대한통운,"21,808","23,222","25,385","23,482"
CJ씨푸드,411,383,463,512
CJ제일제당,"55,224","79,430","74,699","77,256"
LG헬로비전,"3,339","3,323","3,760","4,353"
CS홀딩스,"1,885","1,948","1,899","1,891"
DB,837,839,886,845
DB금융투자,"14,495","13,391","19,058","16,295"
DB손해보험,"13,555","8,308","6,779","8,185"
DB하이텍,"3,834","4,263","4,592","8,152"
DGB금융지주,"29,672","31,813","42,966","44,924"
DRB동일,"3,073","3,198","3,604","3,848"
DSR,"1,189","1,237","1,348","1,857"
DSR제강,899,845,866,"1,225"
E1,"14,464","14,121","13,581","16,290"
F&F홀딩스,"2,911","4,001","5,222","6,832"
GKL,"4,556","4,571","3,472","2,370"
GS,"32,851","31,175","34,368","53,889"
GS건설,"78,282","73,289","72,519","81,951"
GS글로벌,"8,009","7,210","5,608","10,387"
GS리테일,"7,095","8,004","9,233","11,839"
IHQ,784,960,957,"1,201"
JB금융지주,"23,463","27,114","27,811","29,163"
JW생명과학,579,599,565,644
JW중외제약,"3,739","3,351","2,993","3,665"
JW홀딩스,"6,435","5,809","4,613","4,450"
KB금융,"202,745","210,542","257,089","312,101"
KCC,"26,456","32,303","33,722","36,681"
KCTC,861,991,"1,183","1,582"
KC그린홀딩스,"3,418","4,381","3,635","4,989"
KC코트렐,"1,420","2,409","1,891","3,142"
KEC,"1,542","1,455","1,817","2,005"
컨버즈,398,151,184,219
KG케미칼,"6,642","14,417","13,218","18,855"
KISCO홀딩스,"11,179","10,948","11,363","12,584"
그린케미칼,774,815,821,"1,035"
KPX케미칼,"3,193","2,747","3,542","4,533"
KPX홀딩스,"5,804","4,968","6,527","7,756"
KR모터스,870,527,610,697
KSS해운,447,642,725,681
