종목_list,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
AJ네트웍스,"1,572","1,988","1,806","2,479"
CJ제일제당,"36,943","37,864","44,068","49,402"
LG헬로비전,"6,690","5,676","2,474","2,686"
CS홀딩스,"1,699","1,797","1,872","2,007"
DB,436,481,540,772
DB금융투자,"1,032","1,119","1,217","1,315"
DB하이텍,"2,869","3,756","5,254","8,320"
DRB동일,"4,155","4,218","4,220","4,168"
DSR,"1,244","1,319","1,399","1,513"
E1,"11,898","11,341","11,827","13,006"
F&F홀딩스,"3,839","4,796","5,501","24,625"
GKL,"5,099","5,330","4,342","3,314"
GS,"99,059","102,829","98,348","111,313"
GS건설,"24,871","28,274","30,761","34,057"
GS글로벌,840,633,-170,71
GS리테일,"18,598","19,686","20,833","28,531"
IHQ,419,-245,-426,-522
JW생명과학,413,547,646,703
JW중외제약,"1,217",868,651,586
JW홀딩스,604,64,84,24
KCC,"54,447","51,321","56,667","46,784"
KCTC,"1,299","1,341","1,459","1,641"
KC그린홀딩스,"1,135","1,186",792,806
KC코트렐,415,417,-226,-105
KEC,12,-186,-622,-534
컨버즈,-852,"-1,016","-1,079","-1,096"
KG케미칼,"1,698","2,609","3,043","3,746"
KISCO홀딩스,"5,309","5,695","5,968","6,977"
KPX케미칼,"3,872","4,241","4,757","5,116"
KPX홀딩스,"3,654","3,890","5,192","5,523"
KR모터스,-525,-937,"-1,020",-287
KSS해운,"2,310","2,525","2,603","3,088"
KT,"113,289","116,338","121,554","132,874"
KT&G,"71,015","75,147","80,801","85,504"
다올투자증권,73,87,96,"3,180"
KTcs,"1,177","1,199","1,278","1,410"
LF,"8,362","8,861","8,893","9,948"
LG,"150,486","156,993","167,824","188,914"
LG디스플레이,"102,400","75,033","75,188","85,415"
LX인터내셔널,"8,801","8,972","11,870","15,222"
LG생활건강,"35,634","41,749","48,054","54,840"
LG유플러스,"34,472","36,736","39,686","43,641"
LG이노텍,"9,067","9,893","12,215","20,481"
LG전자,"120,754","118,573","136,528","144,336"
LX하우시스,"2,774","2,836","2,061","2,180"
LG화학,"149,943","147,987","151,753","180,919"
LIG넥스원,"3,270","3,107","3,580","4,439"
LS,"28,318","28,086","29,003","31,575"
LS네트웍스,"2,682","1,987","1,740","2,345"
LS ELECTRIC,"11,833","12,464","12,981","13,569"
LS전선아시아,281,392,410,496
MH에탄올,642,611,655,684
NAVER,"52,292","57,121","66,548","230,804"
NHN,"3,862","4,002","4,341","6,538"
NH투자증권,62,70,52,52
NICE,"4,080","4,274","4,352","4,868"
NPC,"2,216","2,349","2,496","2,715"
OCI,"25,288","17,041","14,548","20,927"
POSCO홀딩스,"442,160","450,801","461,115","515,329"
SNT에너지,"1,873","2,024","2,037","2,111"
SNT모티브,"6,130","5,990","6,262","6,950"
SNT중공업,"5,686","5,782","5,759","6,282"
SNT홀딩스,"4,721","5,280","5,556","6,267"
S-Oil,"48,231","48,482","40,357","53,337"
SBS,"4,175","4,309","3,607","5,023"
SBS미디어홀딩스,"2,188","1,103",435,938
SG세계물산,584,680,574,"1,044"
SG글로벌,620,623,601,552
SH에너지화학,424,364,298,312
SIMPAC,"2,741","2,800","3,105","3,978"
SJM,"1,148","1,198","1,210","1,287"
SJM홀딩스,"1,233","1,260","1,268","1,303"
SK,"122,173","125,566","124,967","140,656"
SKC,"13,254","13,500","13,639","15,438"
SK가스,"12,215","14,567","16,909","19,011"
SK네트웍스,"9,791","8,127","8,190","8,973"
SK디앤디,"1,600","1,723","2,140","3,281"
SK이노베이션,"129,285","121,752","98,913","102,112"
SK증권, ,0,55,108
SK디스커버리,"18,523","20,787","23,266","25,124"
SK텔레콤,"221,445","222,287","229,819","224,373"
SK하이닉스,"420,336","429,234","469,957","557,841"
SPC삼립,"2,960","3,047","2,849","3,168"
STX,81,-256,-364,-519
STX엔진,"-4,744","-4,587","-3,966","-3,960"
STX중공업,"-4,067","-4,430",-56,-80
TCC스틸,713,742,767,"1,005"
WISCOM,884,892,873,885
YG PLUS,-116,-148,-211,9
가온전선,"2,161","2,183","2,263","2,293"
강남제비스코,"4,401","4,505","4,710","5,204"
강원랜드,"35,245","36,555","31,848","31,906"
경농,"1,332","1,334","1,421","1,503"
경동나비엔,"2,465","2,677","3,029","3,786"
경동도시가스,448,640,791,961
경동인베스트,"5,543","5,810","5,986","6,076"
경방,"7,032","7,422","7,519","7,710"
경인양행,"1,476","1,593","1,479","1,700"
경인전자,313,308,315,348
계룡건설,"3,313","3,931","4,873","6,356"
계양전기,"1,295","1,262","1,273","1,219"
고려산업,654,689,751,788
고려아연,"61,381","65,917","69,397","75,184"
고려제강,"13,933","13,408","13,443","14,872"
상상인증권,90,5,5,0
광동제약,"3,495","3,693","4,118","4,332"
광명전기,462,539,586,641
광전자,524,523,328,444
교보증권,0,0, , 
국도화학,"4,295","4,670","4,880","6,392"
국동,86,60,159,60
국보,-72,-137,-292,-467
국제약품,79,5,31,11
극동유화,"1,460","1,548","1,569","1,646"
금강공업,"2,396","2,276","2,281","2,479"
금비,913,866,895,878
금양,403,262,224,355
금호건설,"2,086","2,018","2,044","3,341"
금호석유,"19,246","21,867","27,274","45,651"
금호에이치티,874,885,792,602
금호전기,-302,-493,-280,-181
금호타이어,"-3,138","-3,737","-4,822","-5,633"
기신정기,"1,960","2,015","2,059","2,087"
기아,"247,117","260,562","271,734","316,829"
깨끗한나라,-407,-533,435,501
에이프로젠 MED,-283,-390,-854,"-1,053"
남광토건,157,196,328,545
남선알미늄,"1,086","1,226","1,332","1,771"
남성,504,477,622,688
남양유업,"9,059","9,293","8,903","8,300"
비비안,769,736,206,174
남해화학,"3,375","3,467","3,652","3,795"
넥센,"7,841","8,569","8,712","9,068"
넥센타이어,"12,914","14,103","14,007","14,215"
넷마블,"7,610","9,145","12,262","22,346"
노루페인트,"1,938","2,075","2,202","2,290"
노루홀딩스,"3,024","3,011","3,113","3,083"
녹십자,"7,018","6,795","7,573","8,674"
녹십자홀딩스,"7,578","7,453","9,063","9,452"
농심,"18,425","18,780","20,007","20,831"
농심홀딩스,"6,159","6,380","6,951","7,362"
다우기술,"8,897","10,586","13,158","16,672"
키다리스튜디오,68,92,92,132
대교,"5,757","5,725","5,445","4,984"
대구백화점,"1,925","1,725","1,539","1,515"
대덕,"6,759","7,168","8,428","3,498"
대동,"1,848","1,845","2,019","2,353"
대동전자,"1,037","1,080","1,071","1,149"
대림B&Co,"1,328","1,323","1,294","1,274"
DL,"47,930","53,299","57,714","65,885"
삼일씨엔에스,"1,897","1,919","1,905","1,875"
대림통상,176,30,-126,-81
대상,"6,510","7,226","8,275","9,474"
대상홀딩스,"2,390","2,975","3,790","4,215"
대성산업,"3,484","2,834","3,366","2,842"
대성에너지,689,738,828,880
대성홀딩스,"3,978","4,017","4,416","4,536"
대신증권,317,326,291,315
대우건설,-138,"1,886","5,078","9,747"
대우조선해양,"6,470","5,584","6,753","-10,013"
대웅,"4,261","4,772","5,722","6,469"
대웅제약,"4,229","4,454","4,528","4,711"
대원강업,"4,305","4,410","4,251","4,171"
대원전선,433,421,441,457
대원제약,"1,678","1,883","2,005","2,048"
대원화성,295,352,337,264
대유에이텍,-154,-35,-80,-249
대유플러스,-507,-405,-475,-480
대창,771,785,844,"1,101"
대창단조,"1,599","1,722","1,827","2,072"
대한방직,"1,445","1,270","1,289","1,309"
대한유화,"14,016","14,791","15,948","17,280"
대한전선,"2,093","1,897","1,932","2,229"
대한제강,"4,086","4,345","4,776","6,141"
대한제당,"2,379","2,478","2,635","2,793"
대한제분,"6,887","6,999","7,206","8,349"
대한항공,"2,126","-3,458","-5,225","1,101"
대한해운,"3,302","3,936","4,024","6,526"
더존비즈온,"1,451","1,809","2,149","2,533"
덕성,464,466,499,552
덕양산업,72,-68,-111,-42
덴티움,"1,597","1,721","1,950","2,477"
