,Unnamed: 0,종목,2018_당좌비율,2019_당좌비율,2020_당좌비율,2021_당좌비율,2018_부채비율,2019_부채비율,2020_부채비율,2021_부채비율,2018_이자보상비율,2019_이자보상비율,2020_이자보상비율,2021_이자보상비율
0,1,SK렌터카,14.9,32.0,27.0,31.6,375.1,377.2,381.0,491.4,0.8,1.5,1.9,1.9
1,3,BGF,540.9,497.0,667.6,365.9,7.2,8.5,7.9,14.4,23.4,78.0,42.2,6.8
2,4,BGF리테일,77.6,68.7,70.5,68.9,184.2,248.9,240.3,220.8,27.7,10.3,9.0,10.7
3,6,BYC,42.9,66.4,67.4,78.4,81.3,59.8,50.0,42.1,2.9,2.9,4.5,9.4
4,7,CJ,61.2,69.0,76.4,72.7,153.4,176.3,160.0,154.8,3.6,2.3,2.4,3.6
5,9,CJ대한통운,82.6,91.7,89.5,94.9,151.3,149.2,138.7,123.9,2.8,2.4,2.8,3.4
6,10,CJ씨푸드,32.1,27.7,42.5,84.6,104.8,97.9,105.5,98.8,4.8,3.7,5.9,7.4
7,11,CJ제일제당,58.6,70.7,76.9,65.6,166.8,177.2,151.9,148.5,3.4,2.3,4.3,5.6
8,12,LG헬로비전,89.6,56.1,87.3,158.5,84.0,88.2,133.4,128.1,3.7,1.5,2.2,3.5
9,13,CS홀딩스,772.8,870.2,836.2,493.2,10.8,9.8,9.5,13.3,54.9,209.5,272.3,357.2
10,14,DB,124.5,129.5,73.9,160.3,109.7,72.1,50.6,37.5,0.3,2.7,4.7,4.9
11,15,DB금융투자,46.1,55.8,43.3,43.1,825.7,937.8,980.2,814.1,2220.0,2988.0,3024.0,3808.0
12,17,DB하이텍,217.2,170.4,155.7,223.4,91.0,68.9,48.3,40.1,6.8,13.4,36.8,121.6
13,19,DRB동일,102.7,105.4,117.1,87.9,59.8,61.5,67.5,74.9,5.9,5.3,4.6,0.1
14,20,DSR,77.2,82.8,93.8,84.6,52.6,54.8,55.2,70.0,6.7,7.9,12.9,11.4
15,21,DSR제강,89.2,91.9,97.6,86.9,50.9,42.1,41.0,57.1,6.1,5.8,6.3,7.1
16,22,E1,80.6,86.3,57.4,88.7,171.0,198.8,200.1,191.2,0.3,2.0,0.8,0.1
17,25,GS,60.9,55.4,76.5,86.5,115.0,124.5,127.6,119.6,7.7,6.2,3.0,8.2
18,26,GS건설,106.8,111.3,101.6,99.2,232.0,217.9,219.4,211.6,7.9,5.2,6.5,7.1
19,27,GS글로벌,82.4,82.7,87.0,80.1,231.4,217.2,220.0,321.2,2.8,3.1,2.1,2.7
20,28,GS리테일,28.2,34.7,43.7,48.2,107.4,174.6,169.1,114.2,6.1,3.3,3.7,3.3
21,31,JW생명과학,59.2,65.9,57.3,51.7,83.8,64.3,61.8,66.9,10.4,17.2,15.1,22.2
22,33,JW홀딩스,94.7,65.0,51.1,60.3,218.1,260.4,243.3,249.6,1.0,0.0,1.4,3.2
23,35,KCC,144.4,86.3,81.6,87.5,56.2,110.7,135.4,139.6,3.4,2.2,0.8,2.7
24,36,KCTC,83.8,74.3,90.4,116.3,98.3,115.1,110.9,132.4,4.1,3.8,4.5,6.7
25,41,KG케미칼,84.5,67.7,66.2,63.8,149.7,207.2,186.8,173.3,7.7,2.9,4.0,7.9
26,42,KISCO홀딩스,404.8,499.6,525.2,479.4,20.8,17.3,17.2,18.8,176.4,117.7,177.8,634.8
27,43,그린케미칼,73.6,87.1,122.9,87.7,76.3,72.2,56.2,71.6,2.6,6.6,19.3,37.3
28,44,KPX케미칼,282.5,397.3,308.1,179.2,20.7,11.5,19.4,34.4,20.7,58.4,119.1,35.7
29,45,KPX홀딩스,201.4,218.2,227.3,189.0,25.8,22.7,27.1,32.5,9.8,16.0,23.6,13.7
30,47,KSS해운,31.0,31.9,25.8,13.2,260.0,240.7,297.8,321.9,1.9,2.1,3.1,3.1
31,48,KT,119.4,110.7,115.5,112.6,118.5,127.5,116.5,124.3,4.3,4.2,4.5,6.4
32,49,KT&G,240.9,248.1,211.7,188.0,24.9,23.0,26.1,26.4,180.2,201.4,245.4,75.0
33,50,다올투자증권,32.7,51.5,54.2,31.5,232.3,392.7,639.2,853.7,2327.0,2302.0,2336.0,2996.0
34,51,KTcs,151.7,153.1,154.8,152.8,116.6,130.4,126.8,128.3,350.0,6.2,13.4,20.0
35,52,LF,200.9,83.0,108.0,138.7,39.6,73.7,75.3,69.6,19.5,11.0,8.4,16.2
36,53,LG,148.0,172.7,274.4,194.9,25.7,18.0,16.4,17.0,46.2,26.4,53.4,106.5
37,55,LX인터내셔널,94.3,92.4,100.0,97.8,225.1,214.9,206.9,183.0,3.3,2.8,3.7,19.2
38,56,LG생활건강,79.2,80.0,79.3,96.5,46.8,53.3,40.3,37.4,102.5,84.8,97.6,102.9
39,57,LG유플러스,98.9,94.0,107.8,97.0,103.4,144.1,139.8,143.4,7.3,6.2,5.9,6.4
40,58,LG이노텍,108.1,99.8,100.8,82.2,171.7,161.8,148.7,133.6,4.9,7.5,13.7,30.8
41,59,LG전자,77.9,78.7,78.2,75.1,171.8,173.1,174.8,166.1,6.5,6.0,16.9,14.7
42,60,LX하우시스,106.2,75.0,85.0,64.9,173.8,180.1,184.9,195.0,2.0,1.9,2.4,2.8
43,61,LG화학,107.2,76.5,86.9,80.5,67.1,95.7,120.3,120.3,16.6,4.1,9.1,23.8
44,62,LIG넥스원,100.7,101.0,95.5,85.6,257.2,265.6,286.0,237.6,1.6,1.0,3.8,7.0
45,63,LS,112.2,113.4,116.0,101.7,140.6,152.0,162.1,168.1,2.8,1.9,2.7,4.5
