종목_list,2018_총부채,2019_총부채,2020_총부채,2021_총부채
AJ네트웍스,"20,833","14,559","13,002","9,925"
SK렌터카,"9,262","13,004","17,641","23,766"
AK홀딩스,"19,240","28,980","28,894","33,464"
BGF,"1,091","1,291","1,211","2,489"
BGF리테일,"9,609","15,498","16,743","17,871"
BNK금융지주,"903,686","953,576","1,045,306","1,180,639"
BYC,"3,310","2,596","2,265","2,026"
CJ,"192,077","257,663","246,287","254,925"
CJ CGV,"16,839","39,229","40,670","34,842"
CJ대한통운,"47,378","54,548","56,036","49,776"
CJ씨푸드,647,630,695,663
CJ제일제당,"121,888","167,992","154,455","160,490"
LG헬로비전,"8,843","8,394","8,416","8,357"
CS홀딩스,297,281,282,415
DB,"1,508","1,522","1,588","1,642"
DB금융투자, , , , 
DB손해보험,"456,363","496,340","535,595","580,191"
DB하이텍,"5,081","4,442","3,840","4,439"
DGB금융지주,"598,579","669,968","742,147","795,787"
DRB동일,"2,680","2,838","3,128","3,564"
DSR,776,851,900,"1,246"
DSR제강,693,598,600,879
E1,"22,495","23,917","24,880","26,259"
F&F홀딩스,"1,010","2,007","2,661","5,980"
GKL,"2,037","3,243","2,221","1,478"
GS,"121,060","137,183","137,203","169,883"
GS건설,"84,086","90,282","94,586","103,110"
GS글로벌,"9,329","8,253","6,578","11,002"
GS리테일,"26,405","44,826","45,106","50,416"
IHQ,267,290,277,"1,204"
JB금융지주,"433,215","437,098","493,466","520,690"
JW생명과학,916,788,819,880
JW중외제약,"3,337","3,431","3,416","4,445"
JW홀딩스,"8,746","8,918","7,892","7,610"
KB금융,"4,438,753","4,794,188","5,673,176","6,156,019"
KCC,"32,241","49,290","71,016","75,028"
KCTC,"1,864","2,270","2,322","3,033"
KC그린홀딩스,"3,841","5,218","5,461","6,466"
KC코트렐,"1,417","2,558","2,696","3,351"
KEC,"1,258","1,203","1,996","1,214"
컨버즈,640,306,246,234
KG케미칼,"9,044","28,000","28,159","30,974"
KISCO홀딩스,"2,661","2,298","2,298","2,674"
그린케미칼,818,783,636,883
KPX케미칼,916,556,"1,034","1,991"
KPX홀딩스,"2,907","2,677","3,619","4,454"
KR모터스,850,"1,089","1,060","1,182"
KSS해운,"6,532","6,762","8,007","11,034"
KT,"174,576","193,566","181,111","205,922"
KT&G,"20,297","20,129","23,768","24,284"
다올투자증권, , , , 
KTcs,"1,886","2,140","2,152","2,342"
LF,"4,684","10,256","10,650","10,428"
LG,"46,714","34,136","34,210","37,296"
LG디스플레이,"182,895","230,863","223,346","233,920"
LX인터내셔널,"34,885","33,274","36,376","43,626"
LG생활건강,"16,819","22,566","19,522","20,574"
LG유플러스,"70,866","105,914","106,990","114,120"
LG이노텍,"36,378","35,662","36,109","44,271"
LG전자,"280,215","284,347","306,621","333,834"
LX하우시스,"15,930","16,496","15,482","16,840"
LG화학,"116,220","166,406","225,985","279,253"
LIG넥스원,"16,720","16,835","19,231","18,135"
LS,"61,307","64,922","72,120","79,157"
LS네트웍스,"6,355","6,543","7,352","7,557"
LS ELECTRIC,"11,084","11,755","11,269","13,233"
LS전선아시아,"2,060","1,984","2,677","3,229"
MH에탄올,"3,486","3,721","3,693","3,668"
NAVER,"39,321","57,956","87,591","96,636"
NHN,"6,746","6,716","7,068","9,286"
NH투자증권, , , , 
NICE,"11,330","13,412","14,808","17,633"
NI스틸,"1,376","1,478","1,659","1,992"
NPC,"1,318","1,196","1,152","1,768"
OCI,"21,670","21,255","20,515","25,803"
POSCO홀딩스,"314,887","312,640","314,124","366,667"
SNT에너지,497,889,996,873
SNT모티브,"3,717","3,029","3,322","2,922"
SNT중공업,"2,382","2,243","2,359","2,267"
SNT홀딩스,"6,106","6,107","6,530","5,922"
S-Oil,"94,858","98,368","100,080","117,052"
SBS,"3,892","6,006","5,980","7,406"
SBS미디어홀딩스,"1,055",736,"1,937",571
SG세계물산,"1,375",828,710,641
SG글로벌,726,740,724,640
SH에너지화학,170,244,273,279
SIMPAC,"2,467","2,380","2,733","3,566"
SJM,336,454,513,555
SJM홀딩스,456,561,604,661
SK,"685,691","804,354","858,080","998,157"
SKC,"21,383","22,466","34,913","38,978"
SK가스,"21,128","24,216","26,002","30,042"
SK네트웍스,"54,572","78,335","65,282","70,219"
SK디앤디,"11,423","10,355","11,810","13,442"
SK이노베이션,"166,791","213,213","230,397","299,242"
SK증권, , , , 
SK디스커버리,"24,870","26,769","30,053","38,126"
SK텔레콤,"200,199","223,854","235,107","185,761"
SK하이닉스,"168,060","173,125","192,648","341,954"
SPC삼립,"4,383","8,736","8,789","8,880"
STX,"4,900","5,038","5,432","5,536"
STX엔진,"6,429","5,909","5,428","5,535"
STX중공업,"4,008","3,175","2,934","2,764"
TBH글로벌,828,679,613,623
TCC스틸,"1,925","1,974","1,856","2,118"
WISCOM,106,166,139,151
YG PLUS,313,449,468,774
가온전선,"2,661","2,558","2,789","3,909"
강남제비스코,"1,083","1,111","1,297","2,421"
강원랜드,"6,445","7,204","3,946","5,745"
갤럭시아에스엠,65,64,78,79
경농,"1,558","1,690","1,602","1,520"
경동나비엔,"3,035","3,088","3,865","4,835"
경동도시가스,"4,578","4,104","3,430","5,291"
경동인베스트,"1,922","1,909","1,585","1,379"
경방,"5,930","6,292","5,230","5,187"
경보제약,726,887,972,913
경인양행,"1,892","2,346","2,767","3,276"
경인전자,28,24,38,63
계룡건설,"12,864","15,019","14,643","15,727"
계양전기,852,954,"1,085","1,018"
고려개발,"5,845","4,568","4,444","4,092"
고려산업,"1,212","1,107","1,139","1,318"
고려아연,"8,514","10,022","14,126","22,298"
고려제강,"9,304","8,758","7,828","8,362"
상상인증권, , , , 
광동제약,"3,012","3,453","3,285","3,566"
광명전기,531,513,561,548
광전자,377,379,421,283
광주신세계,755,912,862,"1,065"
광주은행,3,0,1, 
교보증권, , , , 
국도화학,"3,548","3,709","3,783","6,014"
국동,750,688,969,661
국보,348,868,600,705
국제약품,575,736,751,712
극동유화,"1,202","1,206","1,199","1,399"
금강공업,"4,986","4,881","4,259","4,820"
금비,966,"1,765","1,760","1,803"
금양,"1,253","1,559","1,401","1,974"
금호건설,"8,259","9,609","9,870","10,832"
금호석유,"22,686","19,085","18,780","30,328"
금호에이치티,"1,135","1,494","1,212","1,080"
금호전기,"1,356",562,635,655
금호타이어,"28,797","26,368","26,786","30,606"
기신정기,121,144,155,142
기아,"245,431","263,667","305,988","319,374"
기업은행,"2,684,153","2,953,344","3,364,738","3,705,381"
까뮤이앤씨,827,979,835,962
깨끗한나라,"4,247","3,758","3,462","3,692"
에이프로젠 MED,"1,996","1,296","1,443","1,197"
남광토건,998,"1,497","1,377","1,862"
남선알미늄,"1,343","1,164","1,056","1,193"
남성,"1,223","1,189","1,265","1,702"
남양유업,"1,638","1,441","1,279","1,244"
비비안,365,320,988,949
남해화학,"1,232","1,472","1,365","2,475"
넥센,"19,423","20,577","21,979","24,555"
넥센타이어,"18,141","18,781","19,941","22,235"
넷마블,"8,815","11,577","25,728","46,561"
노루페인트,"2,996","3,050","3,328","3,257"
노루홀딩스,"4,256","4,399","4,731","4,720"
녹십자,"5,972","7,752","8,821","9,624"
녹십자홀딩스,"11,755","12,673","15,677","15,861"
농심,"6,345","7,123","6,766","6,991"
농심홀딩스,"2,989","2,944","2,746","2,897"
다우기술,"169,051","220,774","353,771","417,060"
