종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
AJ네트웍스,"25,751","18,033","15,882","13,550"
SK렌터카,"11,732","16,452","22,271","28,602"
AK홀딩스,"33,979","43,280","41,521","45,487"
BGF,"16,249","16,574","16,582","19,816"
BGF리테일,"14,826","21,724","23,712","25,964"
BNK금융지주,"987,936","1,045,388","1,141,569","1,282,870"
BYC,"7,384","6,939","6,791","6,844"
CJ,"317,295","403,814","400,250","419,560"
CJ CGV,"22,342","45,240","43,549","37,855"
CJ대한통운,"78,686","91,100","96,435","89,939"
CJ씨푸드,"1,265","1,273","1,353","1,334"
CJ제일제당,"194,970","262,806","256,119","268,558"
LG헬로비전,"19,370","17,907","14,727","14,881"
CS홀딩스,"3,044","3,143","3,237","3,537"
DB,"2,884","3,632","4,725","6,020"
DB금융투자,"70,432","84,224","99,596","95,837"
DB손해보험,"509,291","557,791","600,544","647,516"
DB하이텍,"10,665","10,889","11,786","15,499"
DGB금융지주,"649,135","724,044","799,833","859,060"
DRB동일,"7,162","7,453","7,764","8,320"
DSR,"2,250","2,404","2,529","3,026"
DSR제강,"2,054","2,016","2,063","2,417"
E1,"35,654","35,950","37,314","39,993"
F&F홀딩스,"4,958","6,844","8,178","29,123"
GKL,"7,658","9,094","7,084","5,313"
GS,"226,310","247,341","244,768","311,913"
GS건설,"120,333","131,712","137,707","151,837"
GS글로벌,"13,360","12,052","9,568","14,427"
GS리테일,"50,989","70,497","71,778","94,560"
IHQ,"2,313","1,658","1,463","2,386"
JB금융지주,"467,798","475,296","533,755","563,956"
JW생명과학,"2,009","2,014","2,144","2,195"
JW중외제약,"5,938","5,732","5,491","6,331"
JW홀딩스,"12,756","12,343","11,136","10,658"
KB금융,"4,795,883","5,185,381","6,107,199","6,638,958"
KCC,"89,654","93,822","123,476","128,789"
KCTC,"3,760","4,243","4,414","5,323"
KC그린홀딩스,"6,708","8,161","7,761","9,066"
KC코트렐,"2,195","3,320","2,819","3,851"
KEC,"3,512","3,342","3,683","4,006"
컨버즈,649,271,321,330
KG케미칼,"15,086","41,515","43,235","48,849"
KISCO홀딩스,"15,452","15,573","15,646","16,881"
그린케미칼,"1,891","1,868","1,768","2,117"
KPX케미칼,"5,353","5,379","6,370","7,771"
KPX홀딩스,"14,166","14,490","16,987","18,149"
KR모터스,"1,549","1,441","1,559","1,684"
KSS해운,"9,045","9,572","10,695","14,462"
KT,"321,888","345,401","336,625","371,593"
KT&G,"101,979","107,524","114,684","116,373"
다올투자증권,"17,507","28,596","43,563","92,292"
KTcs,"3,503","3,781","3,849","4,168"
LF,"16,518","24,171","24,794","25,411"
LG,"228,359","224,346","242,823","256,698"
LG디스플레이,"331,757","355,746","350,660","381,545"
LX인터내셔널,"50,381","48,760","53,959","67,469"
